PLAYER COMMANDS (CCommand)
==========================

Every player action in the game is a command object, posted to the
game's own command queue. The path a mouse click takes. NOT a cheat:
the game still applies its own rules through CanExecute.

Addresses are relative to the image base. ARGS is how many arguments
the constructor takes; FIELDS lists offset:kind pairs on the object.


COMMAND                                        CTOR          VTABLE        ARGS  FIELDS
CSetEquipmentVariantNicheIconCommand           img+0xCC0030  img+0x41E3908 4     0x24:handle,0x2C:int
CSetEquipmentVariantOverrideModelCommand       img+0xCBF4A0  img+0x41E3758 4     0x24:handle,0x30:handle,0x38:handle,0x40:handle
CSetEquipmentVariantOverrideSpriteCommand      img+0xCBFA30  img+0x41E3830 4     0x24:handle,0x30:deref,0x34:field0x4,0x38:ptr
CSetFleetCommand                               img+0x212EA00 img+0x42B8740 4     0x24:handle,0x40:handle
CSetFleetHomeBaseCommand                       img+0x212FAA0 img+0x42B8818 4     0x24:handle
CSetFleetIconAndColorCommand                   img+0x2135D80 img+0x42B9310 4     0x24:handle,0x30:handle,0x50:int
CSetFleetLeaderCommand                         img+0x21FFCF0 img+0x42BF498 4     0x24:handle,0x2C:handle
CSetFleetNameCommand                           img+0x212E720 img+0x42B8668 4     0x24:handle,0x30:handle,0x38:handle,0x40:handle
CSetFuelPriorityCommand                        img+0x1BFE250 img+0x4269F50 3     0x24:deref,0x28:int,0x2C:int
CSetGameSpeedCommand                           img+0x23DA500 img+0x42C9CB8 1     0x24:int
CSetIndustrialManufacturerCommand              img+0xF28FC0  img+0x41EE278 4     0x24:deref,0x28:deref,0x30:deref
CSetIndustrialOrgTraitsInQueueCommand          img+0xF2C360  img+0x41EEBA8 1     -
CSetIndustrialOrganisationTaskCommand          img+0xF29450  img+0x41EE350 4     0x24:handle,0x2C:handle,0x38:ptr,0x40:handle
CSetIntelligenceAgencyLogoCommand              img+0x21A0A00 img+0x42BBD78 2     0x24:deref,0x30:handle,0x38:handle
CSetIntelligenceAgencyNameCommand              img+0x219FF10 img+0x42BBBC8 2     0x24:deref,0x30:handle,0x38:handle
CSetIntelligenceAgencyRandomHistoricalNameCommand img+0x21A0390 img+0x42BBCA0 1     0x24:deref
CSetMainGarrisonTemplateCommand                img+0x1BFCD30 img+0x4269B18 4     0x24:deref
CSetMaxAllowedRepairFactoriesCommand           img+0x2133BC0 img+0x42B8E00 2     0x24:deref,0x28:int
CSetNationalFocusCommand                       img+0x1C03A90 img+0x426A898 2     0x24:deref,0x28:ptr
CSetNavalBaseDisabledForRepairsStateCommand    img+0x2135A00 img+0x42B9238 3     0x24:field0x10,0x28:deref,0x2C:bool
CSetNavalDeploymentTargetCommand               img+0x1BEB2E0 img+0x4267E68 4     0x24:handle,0x2C:handle,0x34:handle,0x3C:field0x10
CSetNavalProductionLineAirWingCompositionCommand img+0x1BEADE0 img+0x4267D90 4     0x24:handle
CSetNavalRegionAccessCommand                   img+0x212BE20 img+0x42B84B8 4     0x24:deref
CSetNavyEngagementCommand                      img+0x23F3E70 img+0x42CB200 4     0x38:field0x18,0x40:int
CSetNavyTheaterGroupForCommand                 img+0x23B2780 img+0x42C8F18 4     0x2C:handle,0x48:handle,0x60:handle
CSetNavyTheaterGroupImportantCommand           img+0x23B3900 img+0x42C90C8 4     0x24:handle
CSetNavyTheaterGroupNameCommand                img+0x23B3590 img+0x42C8FF0 4     0x24:handle,0x30:handle,0x38:handle,0x40:handle
CSetObsoleteDivisionTemplateCommand            img+0x1EE5D70 img+0x42AB8F0 4     0x24:handle
CSetObsoleteEquipmentVariantCommand            img+0xCBECC0  img+0x41E35A8 4     0x24:handle
CSetOccupationPolicyCommand                    img+0x1BFBF70 img+0x4269968 3     0x24:deref,0x28:deref
CSetOperationAutoCommenceCommand               img+0x21A6ED0 img+0x42BC6C0 3     0x24:handle,0x2C:bool,0x30:deref
CSetOperationAutoRepeatCommand                 img+0x21A7360 img+0x42BC798 3     0x24:handle,0x2C:bool,0x30:deref
CSetOperationTargetCommand                     img+0x21A77F0 img+0x42BC870 3     0x24:deref,0x28:handle,0x30:int
CSetOperativeCodenameCommand                   img+0x219ECC0 img+0x42BB790 4     0x24:handle,0x30:handle,0x38:handle,0x40:handle
CSetOperativeMissionCommand                    img+0x21AA420 img+0x42BBF28 1     -
CSetOrderGroupCohesionTypeCommand              img+0x21E3B70 img+0x42BD710 4     0x24:handle,0x2C:int
CSetOrderGroupExecutionTypeCommand             img+0x21E3860 img+0x42BD638 4     0x24:handle,0x2C:int
CSetOrderGroupIconAndColorCommand              img+0x21E3640 img+0x42BD560 3     0x24:deref,0x30:deref,0x50:int
CSetOrderGroupLeaderProximityCommand           img+0x21E3DA0 img+0x42BD7E8 4     0x24:handle,0x2C:int
CSetOrderGroupMotorizationCommand              img+0x21E3270 img+0x42BD488 4     0x24:handle
CSetOrderGroupNameCommand                      img+0x21E2C20 img+0x42BD2D8 4     0x24:handle,0x30:handle,0x38:handle,0x40:handle
CSetOrderGroupOrdersInstanceNamesCommand       img+0x21E2F30 img+0x42BD3B0 4     0x24:handle,0x30:handle,0x38:handle,0x40:handle
CSetOrdersLinkCommand                          img+0x2204980 img+0x42C0068 4     0x24:handle
CSetPendingReassignTargetCommand               img+0x23EECB0 img+0x42CACF0 4     0x24:handle,0x2C:handle
CSetPinnedStrategicRegionCommand               img+0x2B7ADB0 img+0x4310E70 3     -
CSetPlayerAiPrefsCommand                       img+0x1BE4CD0 img+0x42671C0 2     0x24:deref,0x30:handle
CSetPreferredTacticCommand                     img+0x1C11EB0 img+0x426BC00 2     0x24:deref,0x28:ptr
CSetPrideOfTheFleetCommand                     img+0x212B9B0 img+0x42B83E0 4     0x24:handle,0x2C:deref
CSetProductionLineAmountToProduceCommand       img+0x1BF0D60 img+0x4268BE8 4     0x24:handle,0x2C:int
CSetProductionLineCommand                      img+0x1BE80F0 img+0x42676D0 4     0x24:handle,0x2C:handle
CSetProductionLineConvertCommand               img+0x1BE9200 img+0x4267A30 4     0x24:handle
CSetProductionLinePriorityCommand              img+0x1BF0650 img+0x4268A38 1     -
CSetQuickDeployPreferenceCommand               img+0x22DE860 img+0x42C5C30 3     0x40:deref,0x44:int
CSetResearchCommand                            img+0x1BF1140 img+0x4268CC0 4     0x24:deref,0x28:ptr,0x30:int,0x34:bool
CSetScorchedStateCommand                       img+0x1C128D0 img+0x426BDB0 4     0x24:deref,0x28:ptr,0x30:bool
CSetShipNameCommand                            img+0x23F3360 img+0x42CB050 4     0x24:handle,0x30:handle,0x38:handle,0x40:handle
CSetShipRefitDeploymentTargetCommand           img+0x1BEBB80 img+0x4267F40 4     0x24:handle,0x2C:handle,0x34:handle,0x3C:field0x10
CSetStateGarrisonTemplateCommand               img+0x1BFD550 img+0x4269CC8 4     0x24:deref,0x28:field0x48
CSetStateOverrideOccupationPolicyCommand       img+0x1BFC4D0 img+0x4269A40 3     0x24:deref,0x28:field0x48,0x38:field0x18,0x40:field0x18
CSetSupplyCapitalNodeCommand                   img+0x1C104A0 img+0x426B8A0 2     0x24:deref,0x28:int
CSetSupplyReinforcementPriorityCommand         img+0x1BFDC00 img+0x4269DA0 2     0x24:deref,0x28:int
CSetSupplyTruckBufferRatioCommand              img+0x1BFDF30 img+0x4269E78 2     0x24:deref,0x28:ptr
CSetTaskForceAutoReinforcementCommand          img+0x212FDA0 img+0x42B88F0 3     -
CSetTaskForceCompositionRequirementsCommand    img+0x21301D0 img+0x42B89C8 4     0x24:field0x18
CSetTaskForceIconAndColorCommand               img+0x21362D0 img+0x42B94C0 4     0x24:field0x18,0x30:field0x18,0x50:int
CSetTheaterGroupNameCommand                    img+0x23B1910 img+0x42C8C90 4     0x24:handle,0x30:handle,0x38:handle,0x40:handle
CSetTheaterGroupPriorityCommand                img+0x23B1C60 img+0x42C8D68 4     0x24:handle,0x2C:int
CSetTheatreCommand                             img+0x23EC070 img+0x42CA7E0 4     0x24:field0x18,0x2C:deref
CSetTimedActivityDistributionPriorityCommand   img+0x1C04AC0 img+0x426ACD0 4     0x24:deref,0x28:deref,0x2C:int,0x30:int
CSetUnitNameCommand                            img+0x23ECD30 img+0x42CA990 4     0x24:field0x18,0x30:field0x18,0x38:handle,0x40:handle
CSetUseDynamicVersionPositioningVariantCommand img+0xCC1170  img+0x41E3B90 4     0x24:handle
CSetWingEquipmentNicheCommand                  img+0x22D8810 img+0x42C4DD8 3     -
CSetWingReinforcementPreferenceCommand         img+0x22D8A80 img+0x42C4EB0 4     0x28:ptr,0x30:field0xc,0x34:field0xc,0x40:bool
CSetWingReinforcementPriorityCommand           img+0x22D8E50 img+0x42C4F88 4     0x24:field0x18,0x2C:int
CSetXORResearchCommand                         img+0x1BF26F0 img+0x4268E70 4     0x24:deref,0x28:ptr,0x30:ptr,0x38:int
CStartGameCommand                              img+0x1F25100 img+0x42AC380 0     -
CStartProjectCommand                           img+0x262E490 img+0x42DBD50 4     0x24:handle,0x2C:handle
CStartStopDecryptionCommand                    img+0x21A28A0 img+0x42BC000 3     0x24:deref,0x28:deref,0x2C:bool
CStockpiledEquipmentDeleteCommand              img+0xCBF030  img+0x41E3680 4     0x24:deref,0x28:handle
CStopProjectCommand                            img+0x262E930 img+0x42DBE28 4     0x24:handle
CStratAirCancelTransferCommand                 img+0x22D6ED0 img+0x42C47F0 4     0x24:field0x18
CStratAirChangeAggressivnessCommand            img+0x22D8610 img+0x42C4D00 4     0x24:field0x18,0x2C:int
CStratAirConsolidateCommand                    img+0x22D7330 img+0x42C49A0 2     -
CStratAirDayNightCommand                       img+0x22D8410 img+0x42C4C28 4     0x24:field0x18,0x2C:int
CStratAirEnableMissionCommand                  img+0x22D4910 img+0x42C4568 3     0x58:int
CStratAirMoveEquipmentCommand                  img+0x22D7760 img+0x42C4A78 4     0x24:deref,0x28:field0x18,0x30:field0x18,0x38:field0x18
CStratAirMoveEquipmentToReservesCommand        img+0x22D7EA0 img+0x42C4B50 4     0x24:deref,0x28:field0x18,0x30:field0x18,0x68:field0x38
CStratAirSetMissionCommand                     img+0x22D5330 img+0x42C4640 4     0x40:int,0x44:bool,0x45:bool
CStratAirSplitCommand                          img+0x22D70F0 img+0x42C48C8 4     0x24:field0x18,0x2C:int
CStratAirTransferCommand                       img+0x22D6830 img+0x42C4718 4     0x24:field0x18,0x2C:field0x18,0x38:field0x60,0x3C:int
CStrategicRedeploymentCommand                  img+0x23F56D0 img+0x42CB638 0     -
CSupportAttackCommand                          img+0x23EB950 img+0x42CA708 4     0x24:field0x18,0x2C:int
CToggleBombingPriorityCommand                  img+0x22DB3F0 img+0x42C5498 4     0x24:field0x18,0x30:ptr
CTogglePinnedStrategicRegionCommand            img+0x2B7A5E0 img+0x4310CC0 1     0x24:field0xa0,0x28:field0xa0
CToggleStrategicDeploymentCommand              img+0x23EB1F0 img+0x42CA630 4     0x28:ptr,0x30:field0xc,0x34:field0xc
CTransportUnitCommand                          img+0x23F54B0 img+0x42CB560 4     0x48:field0x18
CTriggerAbilityCommand                         img+0x1C094E0 img+0x426B030 4     0x24:deref,0x30:field0x78,0x38:field0x78
CUnattachScientistCommand                      img+0x262DFF0 img+0x42DBC78 4     0x24:handle,0x2C:handle
CUnlockResearchCommand                         img+0x1BF1940 img+0x4268D98 4     -
CUpdateDivisionTemplateCommand                 img+0x1EE3990 img+0x42AB668 4     0x270:handle
CUpdateEquipmentVariantCommand                 img+0xCBB9A0  img+0x41E3320 4     0x24:handle,0x30:field0x3f0,0x38:ptr,0x40:ptr
CUpdateLeaderSeenAdvisorRolesCountCommand      img+0x2204720 img+0x42BFF90 4     0x24:handle,0x2C:int
CUpdateLeaderSeenTraitsCountCommand            img+0x22044E0 img+0x42BFEB8 4     0x24:handle,0x2C:int
CUpdateProfileBadgeCommand                     img+0x250A450 img+0x42D1500 1     0x30:handle
CUpdateSupplyNodeCountrySettingsCommand        img+0x1C11610 img+0x426BB28 2     0x24:deref,0x2C:deref
CUpgradeDivisionOfficerCommand                 img+0x1C13740 img+0x426BE88 4     0x24:field0x18,0x2C:int
CUpgradeShipCaptainCommand                     img+0x1C13C20 img+0x426BF60 4     -
CWithdrawArmyHqCommand                         img+0x23EE400 img+0x42CAC18 4     0x24:handle

Total: 358 commands
